ant_id,support_id,operateur,generation,bande_mhz,systeme,statut,ant_lat,ant_lon,commune,code_insee,dist_ligne_km
694037,822098,SFR,4G,800,LTE 800,En service,45.650277777777774,3.6708333333333334,MIRAT,63207,0.43673384171906765
694038,822098,SFR,3G,900,UMTS 900,En service,45.650277777777774,3.6708333333333334,MIRAT,63207,0.43673384171906765
695278,833779,SFR,2G,900,GSM 900,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
695696,837601,SFR,3G,2100,UMTS 2100,En service,45.717222222222226,3.5847222222222226,PIBOULET,63414,1.6154726779750752
695697,837601,SFR,3G,900,UMTS 900,En service,45.717222222222226,3.5847222222222226,PIBOULET,63414,1.6154726779750752
695279,833779,SFR,4G,1800,LTE 1800,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
695280,833779,SFR,4G,2100,LTE 2100,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
695281,833779,SFR,4G,800,LTE 800,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
695282,833779,SFR,3G,2100,UMTS 2100,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
695283,833779,SFR,3G,900,UMTS 900,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
704001,1246287,SFR,4G,800,LTE 800,En service,45.689166666666665,3.4305555555555554,la Vigne,63155,8.245488956785392
704002,1246287,SFR,3G,900,UMTS 900,En service,45.689166666666665,3.4305555555555554,la Vigne,63155,8.245488956785392
726600,1670661,SFR,2G,900,GSM 900,En service,45.680277777777775,3.613611111111111,Le thiaudat,63355,0.1807052712484055
726601,1670661,SFR,4G,800,LTE 800,En service,45.680277777777775,3.613611111111111,Le thiaudat,63355,0.1807052712484055
726602,1670661,SFR,3G,900,UMTS 900,En service,45.680277777777775,3.613611111111111,Le thiaudat,63355,0.1807052712484055
