point_id,lat,lon,distance_km,altitude_m,precipitation_mm_h,precipitation_p95_mm_h,temperature_c,windspeed_kmh,humidity_pct,cloudcover_pct
120,45.384013,3.644908,11.9478,847.6,0.115,0.6624,10.6665,9.2342,74.5615,63.2119
121,45.383139,3.644633,12.0473,849.9,0.1148,0.6604,10.6595,9.2423,74.5437,63.2021
122,45.382292,3.644203,12.1473,853.1,0.1145,0.6584,10.6524,9.2505,74.5258,63.1921
123,45.381464,3.643706,12.2472,854.6,0.1143,0.6564,10.6454,9.2586,74.508,63.1822
124,45.380651,3.643158,12.3472,854.5,0.1141,0.6545,10.6383,9.2667,74.4901,63.1723
125,45.379849,3.642582,12.4471,844.6,0.1138,0.6525,10.6313,9.2748,74.4723,63.1624
126,45.379068,3.641947,12.5471,840.2,0.1136,0.6505,10.6242,9.283,74.4544,63.1525
127,45.37832,3.641239,12.647,836.5,0.1134,0.6485,10.6172,9.2911,74.4366,63.1425
128,45.377549,3.64058,12.747,839.1,0.1131,0.6465,10.6102,9.2993,74.4187,63.1326
129,45.376778,3.639921,12.847,850.6,0.1129,0.6445,10.6031,9.3074,74.4008,63.1227
130,45.375968,3.639371,12.9468,848.8,0.1127,0.6426,10.5961,9.3155,74.383,63.1128
131,45.37514,3.63887,13.0468,848.5,0.1124,0.6406,10.589,9.3237,74.3651,63.1029
132,45.374308,3.638385,13.1468,847.2,0.1122,0.6386,10.582,9.3318,74.3473,63.0929
133,45.373474,3.637904,13.2469,848.1,0.112,0.6366,10.5749,9.3399,74.3294,63.083
134,45.372641,3.637424,13.3468,849.7,0.1118,0.6346,10.5679,9.3481,74.3116,63.0731
135,45.371801,3.636967,13.4468,849.7,0.1115,0.6326,10.5608,9.3562,74.2937,63.0632
136,45.370963,3.636505,13.5467,849.7,0.1113,0.6306,10.5538,9.3643,74.2758,63.0532
137,45.370117,3.636069,13.6467,853.9,0.1111,0.6287,10.5468,9.3725,74.258,63.0433
138,45.369285,3.635585,13.7466,859.1,0.1108,0.6267,10.5397,9.3806,74.2401,63.0334
139,45.368451,3.635106,13.8466,861.0,0.1106,0.6247,10.5327,9.3887,74.2223,63.0235
140,45.367598,3.634731,13.9459,859.6,0.1104,0.6227,10.5257,9.3968,74.2045,63.0136
141,45.366702,3.634673,14.0456,854.9,0.1101,0.6207,10.5186,9.4049,74.1867,63.0037
142,45.365848,3.635001,14.144,861.8,0.1099,0.6188,10.5117,9.4129,74.1691,62.994
143,45.365132,3.635763,14.2434,868.1,0.1097,0.6168,10.5047,9.421,74.1514,62.9841
144,45.364462,3.636617,14.3434,869.7,0.1094,0.6148,10.4977,9.4292,74.1335,62.9742
145,45.363734,3.637359,14.443,871.4,0.1092,0.6129,10.4906,9.4373,74.1157,62.9643
146,45.362883,3.63771,14.5415,875.9,0.109,0.6109,10.4837,9.4453,74.0981,62.9545
147,45.361989,3.637841,14.6414,883.8,0.1087,0.6089,10.4767,9.4534,74.0803,62.9446
148,45.36109,3.637904,14.7415,884.3,0.1085,0.6069,10.4696,9.4616,74.0624,62.9347
149,45.360192,3.637846,14.8415,885.2,0.1083,0.6049,10.4626,9.4697,74.0445,62.9247
150,45.359316,3.637585,14.941,883.0,0.108,0.603,10.4556,9.4778,74.0268,62.9149
151,45.358493,3.637067,15.0411,886.7,0.1078,0.601,10.4485,9.486,74.0089,62.9049
152,45.357668,3.636558,15.1411,892.1,0.1076,0.599,10.4415,9.4941,73.991,62.895
153,45.356839,3.636062,15.2411,892.6,0.1074,0.597,10.4344,9.5022,73.9731,62.8851
154,45.356019,3.635541,15.341,890.5,0.1071,0.595,10.4274,9.5104,73.9553,62.8752
155,45.355152,3.635208,15.4409,895.3,0.1069,0.593,10.4203,9.5185,73.9374,62.8652
156,45.354264,3.635009,15.5409,902.0,0.1067,0.5911,10.4133,9.5266,73.9196,62.8553
