point_id,longitude,latitude
288,3.7134406,45.6270412
289,3.7138778,45.6260816
290,3.7139994,45.6250199
291,3.7143260,45.6240222
292,3.7150800,45.6232682
293,3.7160268,45.6227791
294,3.7170647,45.6225278
295,3.7181282,45.6224083
296,3.7191743,45.6222011
297,3.7200888,45.6216876
298,3.7209702,45.6211079
299,3.7217827,45.6204130
300,3.7226589,45.6198015
301,3.7234480,45.6190891
302,3.7238269,45.6181130
303,3.7237166,45.6170650
304,3.7230955,45.6162092
305,3.7221967,45.6156498
306,3.7212125,45.6152339
307,3.7201747,45.6149724
308,3.7191840,45.6145791
309,3.7183842,45.6138758
310,3.7178773,45.6129431
311,3.7178361,45.6118913
312,3.7182645,45.6109132
313,3.7186676,45.6099261
314,3.7188685,45.6088754
315,3.7189053,45.6078130
316,3.7188132,45.6067468
317,3.7187418,45.6056790
318,3.7186769,45.6046108
319,3.7186280,45.6035417
320,3.7185606,45.6024737
321,3.7184750,45.6014071
322,3.7183667,45.6003424
323,3.7182577,45.5992778
324,3.7182306,45.5982092
325,3.7187666,45.5973031
326,3.7195981,45.5966358
327,3.7205623,45.5961764
328,3.7216121,45.5959828
329,3.7226783,45.5959012
330,3.7237462,45.5958365
331,3.7248059,45.5957027
332,3.7258182,45.5953733
333,3.7267173,45.5948088
334,3.7273662,45.5939738
335,3.7275041,45.5929376
336,3.7272321,45.5919105
337,3.7268184,45.5909235
338,3.7264186,45.5899311
339,3.7260171,45.5889397
340,3.7254301,45.5880518
341,3.7246907,45.5872793
342,3.7240256,45.5864459
343,3.7238316,45.5854134
344,3.7239238,45.5843477
345,3.7242404,45.5833287
346,3.7248798,45.5824826
347,3.7256107,45.5817014
348,3.7263596,45.5809369
349,3.7270051,45.5800849
350,3.7275943,45.5791915
351,3.7281585,45.5782824
352,3.7287035,45.5773619
353,3.7291051,45.5763712
354,3.7292420,45.5753193
355,3.7292090,45.5742496
356,3.7291810,45.5731798
357,3.7291397,45.5721105
358,3.7290887,45.5710415
359,3.7290471,45.5699722
360,3.7290201,45.5689023
361,3.7291115,45.5678374
362,3.7292298,45.5667738
363,3.7293728,45.5657132
364,3.7294988,45.5646504
365,3.7296359,45.5635891
366,3.7297805,45.5625287
367,3.7298990,45.5614652
368,3.7300169,45.5604026
369,3.7301121,45.5593367
370,3.7302270,45.5582729
371,3.7303419,45.5572095
372,3.7304894,45.5561546
373,3.7309911,45.5552257
374,3.7318532,45.5546048
375,3.7327767,45.5540660
376,3.7336503,45.5534490
377,3.7343143,45.5526222
378,3.7346473,45.5516184
379,3.7347444,45.5505538
380,3.7347816,45.5494843
381,3.7348570,45.5484171
382,3.7349551,45.5473515
383,3.7350532,45.5462858
384,3.7351326,45.5452186
385,3.7352046,45.5441509
386,3.7352766,45.5430831
387,3.7353209,45.5420139
